Name,Position,Major,Height,Weight,Year,Hometown,Season,Receiving Touchdowns,Rush Longest,Receiving Yards game pct,Rush Touchdowns,Rush Attempts,Rush Rush attempt yards pct,Rush Yards per game avg,Defense Solo,Games Played,Defense Assist,Defense Total,Defense Tfl yards,Defense Forced fumble,Defense Pass defl,Rush Yards,Receiving Recep,Receiving Per game,Receiving Yards comp pct,Receiving Longest,Receiving Yards,Defense Blocked,Defense Interceptions,Games Started,Defense Fumb rec,Defense Sacks yards
Clayton Nelson,WR,,"6'0""",185 lbs,Jr.,"Buford, Ga.",2021,,,,,,,,0,1,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Zechariah Jones,WR,,"6'3""",175 lbs,Fr.,"Madison, Fla.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Hazel-Polkinghorne,DL,,"6'4""",280 lbs,Fr.,"Williamstown, Australia",2021,,,,,,,,1,1,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Carlos Allen,DL,,"6'0""",285 lbs,So.,"Atlanta, Ga.",2021,,0,,0,0,0.0,0.0,4,9,10,14,3-12,0,0,0,,,,,,0,0,0,0,1-7
Jayden Barron,DL,,"6'2""",285 lbs,Jr.,"Thomaston, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Kerick Reese,DL,,"6'2""",220 lbs,So.,"Stockbridge, Ga.",2021,,,,,,,,25,11,14,39,8-33,1,0,,,,,,,0,0,7,0,3.5-26
Dominique Marshall,WR,,"6'1""",190 lbs,Fr.,"Valdosta, Ga.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
Joel Parker,DL,,"6'0""",250 lbs,Jr.,"Birmingham, Ala.",2021,,,,,,,,8,8,4,12,4-30,1,0,,,,,,,0,0,7,0,4-30
Travis  Bell,DL,,"6'1""",280 lbs,Sr.,"Montgomery, Ala.",2021,,,,,,,,16,12,9,25,6-31,0,0,,,,,,,0,0,9,0,4-28
Joshua Huiet,P,,"6'2""",190 lbs,Fr.,"Johns Creek, Ga.",2021,,,,,,,,,2,,,,,,,,,,,,,,0,,
Carter Pinholster,WR,,"6'1""",190 lbs,So.,"Fort Payne, Ala.",2021,1,,4.8,,,,,1,10,2,3,0-0,0,0,,1,0.1,48.0,48,48,0,0,0,0,0-0
Adam Watkins,DL,,"6'0""",285 lbs,Fr.,"Dacula, Ga.",2021,,,,,,,,0,4,2,2,0-0,0,0,,,,,,,0,0,0,0,0-0
Michael Hines,DT,,"6'2""",280 lbs,Fr.,"Hueytown, Ala.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
Carson Koporc,TE,,"6'3""",240 lbs,So.,"Roswell, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
