Name,Position,Major,Height,Weight,Year,Hometown,Season,Receiving Touchdowns,Rush Longest,Receiving Yards game pct,Rush Touchdowns,Rush Attempts,Rush Rush attempt yards pct,Rush Yards per game avg,Defense Solo,Games Played,Defense Assist,Defense Total,Defense Tfl yards,Defense Forced fumble,Defense Pass defl,Rush Yards,Receiving Recep,Receiving Per game,Receiving Yards comp pct,Receiving Longest,Receiving Yards,Defense Blocked,Defense Interceptions,Games Started,Defense Fumb rec,Defense Sacks yards
Chance Gamble,DB,,"6'2""",170 lbs,So.,"Fitzgerald, Ga.",2022,,,,,,,,36,10,13,49,1-2,0,5,,,,,,,0,3,10,2,0-0
Marquis Ledet,RB,,"6'0""",205 lbs,Jr.,"Marietta, Ga.",2022,0,4,0.6,0,7,2.1,1.9,0,8,0,0,0-0,0,0,15,1,0.1,5.0,5,5,0,0,1,0,0-0
Joe Williams,DB,,"6'0""",170 lbs,Fr.,"Thomasville, Ga.",2022,,,,,,,,2,6,5,7,0-0,0,0,,,,,,,0,0,0,0,0-0
Milon Jones,DB,,"5'11""",175 lbs,Fr.,"Marietta, Ga.",2022,,,,,,,,1,5,4,5,0-0,0,1,,,,,,,0,0,0,0,0-0
Sulaiman Bah,DB,,"6'1""",190 lbs,So.,"Lilburn, Ga.",2022,,,,,,,,0,1,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Myles Beris,DB,,"5'9""",170 lbs,So.,"Douglasville, Ga.",2022,,,,,,,,,5,,,,,,,,,,,,,,0,,
Dylan Hand,DB,,"6'0""",195 lbs,So.,"Dacula, Ga.",2022,,,,,,,,4,9,2,6,0-0,0,1,,,,,,,0,1,1,0,0-0
Yesiah Clemons,RB,,"5'10""",200 lbs,Jr.,"Griffin, Ga.",2022,1,36,4.8,0,26,5.7,13.5,2,11,0,2,0-0,0,0,148,1,0.1,53.0,53,53,0,0,2,0,0-0
Michael Benefield,RB,,"5'7""",190 lbs,So.,"Atlanta, Ga.",2022,0,19,3.2,0,18,6.2,11.1,0,10,4,4,0-0,0,0,111,2,0.2,16.0,20,32,0,0,7,0,0-0
Remington Adams,RB,,"5'6""",165 lbs,Fr.,"Kennesaw, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
William Jenkins,LB,,"6'0""",215 lbs,Jr.,"Decatur, Ga.",2022,,,,,,,,12,11,10,22,1-3,0,0,,,,,,,0,0,2,0,0-0
Garland Benyard,LB,,"6'1""",200 lbs,So.,"Ocilla, Ga.",2022,,,,,,,,29,11,21,50,7-43,0,3,,,,,,,0,1,10,2,3.5-35
Danarius Johnson,LB,,"5'11""",195 lbs,Fr.,"Patterson, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Nehemiah McCoy,LB,,"5'10""",200 lbs,Fr.,"Ocilla, Ga.",2022,,,,,,,,,1,,,,,,,,,,,,,,0,,
Montrel Jenkins,LB,,"6'0""",215 lbs,So.,"Acworth, Ga.",2022,,,,,,,,18,11,18,36,2.5-7,1,0,,,,,,,0,0,0,0,1-2
Jerrod Woods,LB,,"6'1""",210 lbs,So.,"Leesburg, Ga.",2022,,,,,,,,7,7,9,16,2.5-9,0,0,,,,,,,0,0,1,0,1-5
Eli Leiataua,RB,,"5'11""",215 lbs,Fr.,"Hinesville, Ga.",2022,,,,,,,,3,10,1,4,0-0,0,0,,,,,,,0,0,0,0,0-0
Rob Brown,RB,,"6'0""",205 lbs,Fr.,"Trion, Ga.",2022,,0,,0,0,0.0,0.0,0,2,0,0,0-0,0,0,0,,,,,,0,0,0,0,0-0
Damarion Davis,LB,,"6'0""",185 lbs,Fr.,"Lithonia, Ga.",2022,,,,,,,,,2,,,,,,,,,,,,,,0,,
Mike Mincey,LB,,"6'1""",230 lbs,So.,"Waycross, Ga.",2022,,,,,,,,9,7,7,16,3.5-6,0,0,,,,,,,0,0,2,0,0-0
Terrell Paxton,OL,,"6'0""",310 lbs,Sr.,"Stone Mountain, Ga.",2022,,,,,,,,0,10,0,0,0-0,0,0,,,,,,,0,0,9,0,0-0
Jordan Lay,RB,,"5'11""",205 lbs,Jr.,"Hartwell, Ga.",2022,,11,,0,51,2.8,14.1,2,10,0,2,0-0,0,0,141,,,,,,0,0,0,0,0-0
Jordan Love,OL,,"6'2""",275 lbs,So.,"Rockledge, Fla.",2022,,,,,,,,,8,,,,,,,,,,,,,,6,,
Antonio Ward,LB,,"6'0""",210 lbs,Jr.,"Snellville, Ga.",2022,,,,,,,,3,8,3,6,0-0,0,1,,,,,,,0,0,0,0,0-0
Donelius Johnson,LB,,"6'0""",215 lbs,Fr.,"Patterson, Ga.",2022,,,,,,,,0,1,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Alexander Diggs,RB,,"5'9""",190 lbs,Fr.,"Snellville, Ga.",2022,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0-0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0-0
Juandarion Silas,LB,,"6'1""",200 lbs,Fr.,"Athens, Ga.",2022,,,,,,,,16,6,11,27,3-13,2,1,,,,,,,0,0,5,0,0-0
Tyler Scott,DL,,"6'1""",310 lbs,Jr.,"Jackson, Ga.",2022,,,,,,,,0,1,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Demetric Barnes,DL,,"6'4""",235 lbs,Jr.,"Stone Mountain, Ga.",2022,,,,,,,,7,10,2,9,0-0,0,0,,,,,,,0,0,1,1,0-0
Charlie Cooper,P,,"5'11""",185 lbs,Fr.,"Tucker, Ga.",2022,,,,,,,,,4,,,,,,,,,,,,,,0,,
Cameron Donald,DL,,"6'1""",250 lbs,Jr.,"Pelzer, S.C.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Darron Willis,OL,,"6'2""",255 lbs,Jr.,"Alpharetta, Ga.",2022,,,,,,,,,1,,,,,,,,,,,,,,0,,
Jahon Myers,DL,,"6'3""",255 lbs,Jr.,"Luella, Ga.",2022,,,,,,,,13,11,16,29,7-32,1,0,,,,,,,0,0,10,0,3-22
Seth Adams,OL,,"6'3""",250 lbs,So.,"Dawsonville, Ga.",2022,,,,,,,,,4,,,,,,,,,,,,,,1,,
Tristan Love,OL,,"6'2""",300 lbs,Sr.,"Rockledge, Fla.",2022,,,,,,,,,10,,,,,,,,,,,,,,0,,
Seaburn Hines,OL,,"6'2""",305 lbs,So.,"Helena, Ala.",2022,,,,,,,,,11,,,,,,,,,,,,,,1,,
Matt Olson,OL,,"6'3""",285 lbs,Gr.,"Cumming, Ga.",2022,,,,,,,,,7,,,,,,,,,,,,,,7,,
Zion Katina,OL,,"6'2""",285 lbs,Sr.,"Franklin, Tenn.",2022,,,,,,,,0,9,0,0,0-0,0,0,,,,,,,0,0,8,0,0-0
Trenton Jackson,OL,,"6'0""",290 lbs,Jr.,"Hattiesburg, Miss.",2022,,,,,,,,,9,,,,,,,,,,,,,,6,,
James Dawson,OL,,"6'1""",295 lbs,Jr.,"Opelika, Ala.",2022,,,,,,,,,7,,,,,,,,,,,,,,6,,
Braden Whittenburg,LS,,"6'1""",195 lbs,So.,"Folkston, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Butts,OL,,"6'2""",260 lbs,Fr.,"Macon, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Gilliam,OL,,"6'2""",250 lbs,So.,"Fayetteville, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Strom,OL,,"6'3""",280 lbs,Fr.,"Hazlehurst, Ga.",2022,,,,,,,,,1,,,,,,,,,,,,,,0,,
Nate Wright,OL,,"6'3""",255 lbs,Fr.,"Gardendale, Ala.",2022,,,,,,,,,4,,,,,,,,,,,,,,1,,
Hall O'Neal,OL,,"6'2""",255 lbs,Jr.,"Atlanta, Ga.",2022,,,,,,,,,4,,,,,,,,,,,,,,1,,
Desmond Scott,DL,,"6'0""",285 lbs,Gr.,"Pinson, Ala.",2022,,,,,,,,4,8,12,16,2.5-15,1,1,,,,,,,0,0,5,0,1.5-11
Coy Pendergrass,OL,,"6'3""",275 lbs,Fr.,"Lafayette, Ga.",2022,,,,,,,,,1,,,,,,,,,,,,,,0,,
Conor Cummins,K,,"6'1""",175 lbs,So.,"Marietta, Ga.",2022,,,,,,,,1,11,1,2,0-0,0,0,,,,,,,0,0,0,0,0-0
Brian Habeck,OL,,"6'3""",235 lbs,Fr.,"Jefferson, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Finer,TE,,"6'2""",215 lbs,So.,"New Port Richey, Fla.",2022,0,,2.9,,,,,0,10,1,1,0-0,0,0,,1,0.1,29.0,29,29,0,0,0,0,0-0
Mike Fangman,OL,,"6'1""",270 lbs,So.,"Naples, Fla.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Zane McCracken,LS,,"6'2""",200 lbs,Jr.,"Calhoun, Ga.",2022,,,,,,,,1,11,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Clayton Nelson,WR,,"6'0""",190 lbs,Sr.,"Buford, Ga.",2022,,,,,,,,0,3,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Blake Bohannon,WR,,"6'1""",200 lbs,So.,"Woodstock, Ga.",2022,1,,19.4,,,,,0,11,0,0,0-0,0,0,,12,1.1,17.8,61,213,0,0,10,0,0-0
Ronnie Thomas,LS,,"5'10""",180 lbs,Fr.,"Warner Robbins, Ga.",2022,,,,,,,,1,4,1,2,0-0,0,0,,,,,,,0,0,0,0,0-0
Dylan Hannon,DL,,"6'2""",290 lbs,Fr.,"Alpharetta, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Rowan Darnell,WR,,"6'4""",210 lbs,Fr.,"Johns Creek, Ga.",2022,0,,0.0,,,,,,3,,,,,,,0,0.0,0.0,0,0,,,0,,
Carter Pinholster,WR,,"6'1""",190 lbs,Jr.,"Fort Payne, Ala.",2022,0,,0.0,,,,,0,4,0,0,0-0,0,0,,0,0.0,0.0,0,0,0,0,0,0,0-0
Carlos Allen,DL,,"6'0""",290 lbs,Jr.,"Atlanta, Ga.",2022,,31,,0,1,31.0,2.8,13,11,12,25,6-21,1,1,31,,,,,,0,0,6,2,2-15
Jayden Barron,DL,,"6'2""",280 lbs,Sr.,"Thomaston, Ga.",2022,,,,,,,,0,1,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Carson Kent,TE,,"6'4""",230 lbs,Fr.,"Milton, Ga.",2022,0,,0.0,,,,,0,1,0,0,0-0,0,0,,0,0.0,0.0,0,0,0,0,0,0,0-0
Joshua Agbenou,DL,,"6'2""",235 lbs,Jr.,"Bethlehem, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Acha Mbanwei,,,"5'11""",230 lbs,So.,"Conyers, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Parker,DL,,"6'0""",250 lbs,Sr.,"Birmingham, Ala.",2022,,,,,,,,8,10,15,23,3.5-5,0,1,,,,,,,0,0,8,0,0-0
Travis  Bell,DL,,"6'1""",305 lbs,Gr.,"Montgomery, Ala.",2022,,,,,,,,16,11,18,34,5.5-25,0,0,,,,,,,1,0,9,0,1.5-12
Ugonna Nwoha,DL,,"6'3""",265 lbs,Fr.,"Austell, Ga.",2022,,,,,,,,1,2,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Adam Watkins,DL,,"6'0""",285 lbs,So.,"Dacula, Ga.",2022,,,,,,,,7,11,14,21,2.5-24,0,0,,,,,,,0,0,0,0,2.5-24
Charles Remy,LB,,"6'1""",215 lbs,So.,"Kennesaw, Ga.",2022,,,,,,,,4,9,6,10,1.5-4,0,0,,,,,,,0,0,0,0,1-2
RJ Taylor,DL,,"6'3""",195 lbs,Fr.,"Gulf Shores, Ala.",2022,,,,,,,,0,3,1,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Havik Pettigrew,OL,,"6'0""",250 lbs,Fr.,"Acworth, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Tyriek Johnson,DB,,"5'8""",175 lbs,So.,"Hoschton, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Dugger,WR,,"5'11""",195 lbs,Jr.,"Augusta, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Huiet,P,,"6'2""",205 lbs,So.,"Johns Creek, Ga.",2022,,,,,,,,,11,,,,,,,,,,,,,,0,,
Nathan Robertson,K,,"5'10""",160 lbs,Gr.,"Columbus, Ga.",2022,,,,,,,,0,6,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
